Start auto log messages stack.	[MsgId: MMSG-10546]
Virtual User Script started at : 2018/3/22 10:22:28	[MsgId: MMSG-15967]
Starting action vuser_init.	[MsgId: MMSG-15919]
vuser_init.c(25): Error: Can't connect to MySQL server on '10.184.129.203' (10061)	[MsgId: MERR-17999]
End auto log messages stack.	[MsgId: MMSG-10544]


Start auto log messages stack - Iteration 1.	[MsgId: MMSG-10545]
Starting action A_Patient_Register.	[MsgId: MMSG-15919]
A_Patient_Register.c(19): web_set_max_html_param_len started  	[MsgId: MMSG-26355]
A_Patient_Register.c(19): web_set_max_html_param_len was successful  	[MsgId: MMSG-26392]
A_Patient_Register.c(36): web_reg_save_param started  	[MsgId: MMSG-26355]
A_Patient_Register.c(36): Registering web_reg_save_param was successful  	[MsgId: MMSG-26390]
A_Patient_Register.c(38): Notify: Transaction "Patient operations_ Get2DCodeImage" started.	[MsgId: MMSG-16999]
A_Patient_Register.c(40): web_custom_request("Get2DCodeImage") started  	[MsgId: MMSG-26355]
A_Patient_Register.c(40): Continuing after Error -26377: No match found for the requested parameter "Get2DCodeImageResult". Either the specified boundaries were not found in the response or the matched text is longer than current max html parameter size of 10240 bytes. The total length of the response is 300 bytes. You can use "web_set_max_html_param_len" to increase the max parameter size.  	[MsgId: MERR-26377]
End auto log messages stack.	[MsgId: MMSG-10544]


Start auto log messages stack - Iteration 1.	[MsgId: MMSG-10545]
A_Patient_Register.c(40): web_custom_request("Get2DCodeImage") highest severity level was "continue on error", 300 body bytes, 230 header bytes  	[MsgId: MMSG-26388]
A_Patient_Register.c(40): Continuing after error in Vuser script.	[MsgId: MMSG-10678]
A_Patient_Register.c(53): web_get_int_property started  	[MsgId: MMSG-26355]
A_Patient_Register.c(53): web_get_int_property was successful  	[MsgId: MMSG-26392]
A_Patient_Register.c(68): Error: Get2DCodeImage from CS operations failed. The http response content size is 0!	[MsgId: MERR-17999]
End auto log messages stack.	[MsgId: MMSG-10544]


Start auto log messages stack - Iteration 2.	[MsgId: MMSG-10545]
Starting action A_Patient_Register.	[MsgId: MMSG-15919]
A_Patient_Register.c(19): web_set_max_html_param_len started  	[MsgId: MMSG-26355]
A_Patient_Register.c(19): web_set_max_html_param_len was successful  	[MsgId: MMSG-26392]
A_Patient_Register.c(36): web_reg_save_param started  	[MsgId: MMSG-26355]
A_Patient_Register.c(36): Registering web_reg_save_param was successful  	[MsgId: MMSG-26390]
A_Patient_Register.c(38): Notify: Transaction "Patient operations_ Get2DCodeImage" started.	[MsgId: MMSG-16999]
A_Patient_Register.c(40): web_custom_request("Get2DCodeImage") started  	[MsgId: MMSG-26355]
A_Patient_Register.c(40): Continuing after Error -26377: No match found for the requested parameter "Get2DCodeImageResult". Either the specified boundaries were not found in the response or the matched text is longer than current max html parameter size of 10240 bytes. The total length of the response is 300 bytes. You can use "web_set_max_html_param_len" to increase the max parameter size.  	[MsgId: MERR-26377]
End auto log messages stack.	[MsgId: MMSG-10544]


Start auto log messages stack - Iteration 2.	[MsgId: MMSG-10545]
A_Patient_Register.c(40): web_custom_request("Get2DCodeImage") highest severity level was "continue on error", 300 body bytes, 230 header bytes  	[MsgId: MMSG-26388]
A_Patient_Register.c(40): Continuing after error in Vuser script.	[MsgId: MMSG-10678]
A_Patient_Register.c(53): web_get_int_property started  	[MsgId: MMSG-26355]
A_Patient_Register.c(53): web_get_int_property was successful  	[MsgId: MMSG-26392]
A_Patient_Register.c(68): Error: Get2DCodeImage from CS operations failed. The http response content size is 0!	[MsgId: MERR-17999]
End auto log messages stack.	[MsgId: MMSG-10544]


Start auto log messages stack - Iteration 3.	[MsgId: MMSG-10545]
Starting action A_Patient_Register.	[MsgId: MMSG-15919]
A_Patient_Register.c(19): web_set_max_html_param_len started  	[MsgId: MMSG-26355]
A_Patient_Register.c(19): web_set_max_html_param_len was successful  	[MsgId: MMSG-26392]
A_Patient_Register.c(36): web_reg_save_param started  	[MsgId: MMSG-26355]
A_Patient_Register.c(36): Registering web_reg_save_param was successful  	[MsgId: MMSG-26390]
A_Patient_Register.c(38): Notify: Transaction "Patient operations_ Get2DCodeImage" started.	[MsgId: MMSG-16999]
A_Patient_Register.c(40): web_custom_request("Get2DCodeImage") started  	[MsgId: MMSG-26355]
A_Patient_Register.c(40): Continuing after Error -26377: No match found for the requested parameter "Get2DCodeImageResult". Either the specified boundaries were not found in the response or the matched text is longer than current max html parameter size of 10240 bytes. The total length of the response is 300 bytes. You can use "web_set_max_html_param_len" to increase the max parameter size.  	[MsgId: MERR-26377]
End auto log messages stack.	[MsgId: MMSG-10544]


Start auto log messages stack - Iteration 3.	[MsgId: MMSG-10545]
A_Patient_Register.c(40): web_custom_request("Get2DCodeImage") highest severity level was "continue on error", 300 body bytes, 230 header bytes  	[MsgId: MMSG-26388]
A_Patient_Register.c(40): Continuing after error in Vuser script.	[MsgId: MMSG-10678]
A_Patient_Register.c(53): web_get_int_property started  	[MsgId: MMSG-26355]
A_Patient_Register.c(53): web_get_int_property was successful  	[MsgId: MMSG-26392]
A_Patient_Register.c(68): Error: Get2DCodeImage from CS operations failed. The http response content size is 0!	[MsgId: MERR-17999]
End auto log messages stack.	[MsgId: MMSG-10544]


Start auto log messages stack - Iteration 4.	[MsgId: MMSG-10545]
Starting action A_Patient_Register.	[MsgId: MMSG-15919]
A_Patient_Register.c(19): web_set_max_html_param_len started  	[MsgId: MMSG-26355]
A_Patient_Register.c(19): web_set_max_html_param_len was successful  	[MsgId: MMSG-26392]
A_Patient_Register.c(36): web_reg_save_param started  	[MsgId: MMSG-26355]
A_Patient_Register.c(36): Registering web_reg_save_param was successful  	[MsgId: MMSG-26390]
A_Patient_Register.c(38): Notify: Transaction "Patient operations_ Get2DCodeImage" started.	[MsgId: MMSG-16999]
A_Patient_Register.c(40): web_custom_request("Get2DCodeImage") started  	[MsgId: MMSG-26355]
A_Patient_Register.c(40): Continuing after Error -26377: No match found for the requested parameter "Get2DCodeImageResult". Either the specified boundaries were not found in the response or the matched text is longer than current max html parameter size of 10240 bytes. The total length of the response is 300 bytes. You can use "web_set_max_html_param_len" to increase the max parameter size.  	[MsgId: MERR-26377]
End auto log messages stack.	[MsgId: MMSG-10544]


Start auto log messages stack - Iteration 4.	[MsgId: MMSG-10545]
A_Patient_Register.c(40): web_custom_request("Get2DCodeImage") highest severity level was "continue on error", 300 body bytes, 230 header bytes  	[MsgId: MMSG-26388]
A_Patient_Register.c(40): Continuing after error in Vuser script.	[MsgId: MMSG-10678]
A_Patient_Register.c(53): web_get_int_property started  	[MsgId: MMSG-26355]
A_Patient_Register.c(53): web_get_int_property was successful  	[MsgId: MMSG-26392]
A_Patient_Register.c(68): Error: Get2DCodeImage from CS operations failed. The http response content size is 0!	[MsgId: MERR-17999]
End auto log messages stack.	[MsgId: MMSG-10544]


Start auto log messages stack - Iteration 5.	[MsgId: MMSG-10545]
Starting action A_Patient_Register.	[MsgId: MMSG-15919]
A_Patient_Register.c(19): web_set_max_html_param_len started  	[MsgId: MMSG-26355]
A_Patient_Register.c(19): web_set_max_html_param_len was successful  	[MsgId: MMSG-26392]
A_Patient_Register.c(36): web_reg_save_param started  	[MsgId: MMSG-26355]
A_Patient_Register.c(36): Registering web_reg_save_param was successful  	[MsgId: MMSG-26390]
A_Patient_Register.c(38): Notify: Transaction "Patient operations_ Get2DCodeImage" started.	[MsgId: MMSG-16999]
A_Patient_Register.c(40): web_custom_request("Get2DCodeImage") started  	[MsgId: MMSG-26355]
A_Patient_Register.c(40): Continuing after Error -26377: No match found for the requested parameter "Get2DCodeImageResult". Either the specified boundaries were not found in the response or the matched text is longer than current max html parameter size of 10240 bytes. The total length of the response is 300 bytes. You can use "web_set_max_html_param_len" to increase the max parameter size.  	[MsgId: MERR-26377]
End auto log messages stack.	[MsgId: MMSG-10544]


Start auto log messages stack - Iteration 5.	[MsgId: MMSG-10545]
A_Patient_Register.c(40): web_custom_request("Get2DCodeImage") highest severity level was "continue on error", 300 body bytes, 230 header bytes  	[MsgId: MMSG-26388]
A_Patient_Register.c(40): Continuing after error in Vuser script.	[MsgId: MMSG-10678]
A_Patient_Register.c(53): web_get_int_property started  	[MsgId: MMSG-26355]
A_Patient_Register.c(53): web_get_int_property was successful  	[MsgId: MMSG-26392]
A_Patient_Register.c(68): Error: Get2DCodeImage from CS operations failed. The http response content size is 0!	[MsgId: MERR-17999]
End auto log messages stack.	[MsgId: MMSG-10544]


Start auto log messages stack - Iteration 6.	[MsgId: MMSG-10545]
Starting action A_Patient_Register.	[MsgId: MMSG-15919]
A_Patient_Register.c(19): web_set_max_html_param_len started  	[MsgId: MMSG-26355]
A_Patient_Register.c(19): web_set_max_html_param_len was successful  	[MsgId: MMSG-26392]
A_Patient_Register.c(36): web_reg_save_param started  	[MsgId: MMSG-26355]
A_Patient_Register.c(36): Registering web_reg_save_param was successful  	[MsgId: MMSG-26390]
A_Patient_Register.c(38): Notify: Transaction "Patient operations_ Get2DCodeImage" started.	[MsgId: MMSG-16999]
A_Patient_Register.c(40): web_custom_request("Get2DCodeImage") started  	[MsgId: MMSG-26355]
A_Patient_Register.c(40): Continuing after Error -26377: No match found for the requested parameter "Get2DCodeImageResult". Either the specified boundaries were not found in the response or the matched text is longer than current max html parameter size of 10240 bytes. The total length of the response is 300 bytes. You can use "web_set_max_html_param_len" to increase the max parameter size.  	[MsgId: MERR-26377]
End auto log messages stack.	[MsgId: MMSG-10544]


Start auto log messages stack - Iteration 6.	[MsgId: MMSG-10545]
A_Patient_Register.c(40): web_custom_request("Get2DCodeImage") highest severity level was "continue on error", 300 body bytes, 230 header bytes  	[MsgId: MMSG-26388]
A_Patient_Register.c(40): Continuing after error in Vuser script.	[MsgId: MMSG-10678]
A_Patient_Register.c(53): web_get_int_property started  	[MsgId: MMSG-26355]
A_Patient_Register.c(53): web_get_int_property was successful  	[MsgId: MMSG-26392]
A_Patient_Register.c(68): Error: Get2DCodeImage from CS operations failed. The http response content size is 0!	[MsgId: MERR-17999]
End auto log messages stack.	[MsgId: MMSG-10544]


Start auto log messages stack - Iteration 7.	[MsgId: MMSG-10545]
Starting action A_Patient_Register.	[MsgId: MMSG-15919]
A_Patient_Register.c(19): web_set_max_html_param_len started  	[MsgId: MMSG-26355]
