Transaction Name,Flow Name,Packet List Name,Transaction Duration (seconds),Network Time (seconds) ,Throughput Up (KB),Throughput Down (KB),Number of Requests,Errors,Analysis Score (Desktop) ,Analysis Score (Mobile) ,Transaction HTML Report Name
Create Film,,,3.8,0.0,0.0,0.0,0,0,N\A (no HTTP traffic),N\A (no HTTP traffic),report0.html
Create Film[2],,,1.2,0.0,0.0,0.0,0,0,N\A (no HTTP traffic),N\A (no HTTP traffic),report1.html
Create Film[3],,,2.1,0.4,0.0,0.0,0,0,N\A (no HTTP traffic),N\A (no HTTP traffic),report2.html
Create Film[4],,,2.0,0.8,0.0,0.0,0,0,N\A (no HTTP traffic),N\A (no HTTP traffic),report3.html
Create Film[5],,,1.6,0.0,0.0,0.0,0,0,N\A (no HTTP traffic),N\A (no HTTP traffic),report4.html
Update Film,,,0.5,0.0,0.0,0.0,0,0,N\A (no HTTP traffic),N\A (no HTTP traffic),report5.html
Update Film[2],,,0.6,0.0,0.0,0.0,0,0,N\A (no HTTP traffic),N\A (no HTTP traffic),report6.html
Update Film[3],,,0.3,0.0,0.0,0.0,0,0,N\A (no HTTP traffic),N\A (no HTTP traffic),report7.html
Update Film[4],,,0.7,0.0,0.0,0.0,0,0,N\A (no HTTP traffic),N\A (no HTTP traffic),report8.html
Update Film[5],,,0.4,0.0,0.0,0.0,0,0,N\A (no HTTP traffic),N\A (no HTTP traffic),report9.html
