Transaction Name,Flow Name,Packet List Name,Transaction Duration (seconds),Network Time (seconds) ,Throughput Up (KB),Throughput Down (KB),Number of Requests,Errors,Analysis Score (Desktop) ,Analysis Score (Mobile) ,Transaction HTML Report Name
User_login,,,9.3,5.0,0.0,0.0,0,0,N\A (no HTTP traffic),N\A (no HTTP traffic),report0.html
GetDepartmentInfo,,,0.8,0.0,0.0,0.0,0,0,N\A (no HTTP traffic),N\A (no HTTP traffic),report1.html
Terminal_monitor,,,0.9,0.0,0.0,0.0,0,0,N\A (no HTTP traffic),N\A (no HTTP traffic),report2.html
WorlkList_Query_randomTime,,,1.4,0.0,0.0,0.0,0,0,N\A (no HTTP traffic),N\A (no HTTP traffic),report3.html
User_login[2],,,8.2,4.3,0.0,0.0,0,0,N\A (no HTTP traffic),N\A (no HTTP traffic),report4.html
GetDepartmentInfo[2],,,0.7,0.2,0.0,0.0,0,0,N\A (no HTTP traffic),N\A (no HTTP traffic),report5.html
Terminal_monitor[2],,,0.8,0.0,0.0,0.0,0,0,N\A (no HTTP traffic),N\A (no HTTP traffic),report6.html
WorlkList_Query_randomTime[2],,,1.3,0.0,0.0,0.0,0,0,N\A (no HTTP traffic),N\A (no HTTP traffic),report7.html
User_login[3],,,7.5,1.3,0.0,0.0,0,0,N\A (no HTTP traffic),N\A (no HTTP traffic),report8.html
GetDepartmentInfo[3],,,0.7,0.0,0.0,0.0,0,0,N\A (no HTTP traffic),N\A (no HTTP traffic),report9.html
Terminal_monitor[3],,,0.7,0.0,0.0,0.0,0,0,N\A (no HTTP traffic),N\A (no HTTP traffic),report10.html
WorlkList_Query_randomTime[3],,,1.2,0.0,0.0,0.0,0,0,N\A (no HTTP traffic),N\A (no HTTP traffic),report11.html
User_login[4],,,8.7,5.0,0.0,0.0,0,0,N\A (no HTTP traffic),N\A (no HTTP traffic),report12.html
GetDepartmentInfo[4],,,0.8,0.0,0.0,0.0,0,0,N\A (no HTTP traffic),N\A (no HTTP traffic),report13.html
Terminal_monitor[4],,,0.8,0.0,0.0,0.0,0,0,N\A (no HTTP traffic),N\A (no HTTP traffic),report14.html
WorlkList_Query_randomTime[4],,,1.0,0.0,0.0,0.0,0,0,N\A (no HTTP traffic),N\A (no HTTP traffic),report15.html
User_login[5],,,7.5,3.5,0.0,0.0,0,0,N\A (no HTTP traffic),N\A (no HTTP traffic),report16.html
GetDepartmentInfo[5],,,0.7,0.0,0.0,0.0,0,0,N\A (no HTTP traffic),N\A (no HTTP traffic),report17.html
Terminal_monitor[5],,,0.9,0.0,0.0,0.0,0,0,N\A (no HTTP traffic),N\A (no HTTP traffic),report18.html
WorlkList_Query_randomTime[5],,,0.9,0.8,0.0,0.0,0,0,N\A (no HTTP traffic),N\A (no HTTP traffic),report19.html
User_login[6],,,7.1,0.0,0.0,0.0,0,0,N\A (no HTTP traffic),N\A (no HTTP traffic),report20.html
GetDepartmentInfo[6],,,0.6,0.0,0.0,0.0,0,0,N\A (no HTTP traffic),N\A (no HTTP traffic),report21.html
Terminal_monitor[6],,,0.8,0.0,0.0,0.0,0,0,N\A (no HTTP traffic),N\A (no HTTP traffic),report22.html
WorlkList_Query_randomTime[6],,,1.2,0.0,0.0,0.0,0,0,N\A (no HTTP traffic),N\A (no HTTP traffic),report23.html
User_login[7],,,8.4,1.7,0.0,0.0,0,0,N\A (no HTTP traffic),N\A (no HTTP traffic),report24.html
GetDepartmentInfo[7],,,0.8,0.0,0.0,0.0,0,0,N\A (no HTTP traffic),N\A (no HTTP traffic),report25.html
Terminal_monitor[7],,,0.9,0.0,0.0,0.0,0,0,N\A (no HTTP traffic),N\A (no HTTP traffic),report26.html
WorlkList_Query_randomTime[7],,,1.2,0.1,0.0,0.0,0,0,N\A (no HTTP traffic),N\A (no HTTP traffic),report27.html
User_login[8],,,6.8,3.7,0.0,0.0,0,0,N\A (no HTTP traffic),N\A (no HTTP traffic),report28.html
GetDepartmentInfo[8],,,0.6,0.0,0.0,0.0,0,0,N\A (no HTTP traffic),N\A (no HTTP traffic),report29.html
Terminal_monitor[8],,,0.6,0.0,0.0,0.0,0,0,N\A (no HTTP traffic),N\A (no HTTP traffic),report30.html
WorlkList_Query_randomTime[8],,,0.6,0.0,0.0,0.0,0,0,N\A (no HTTP traffic),N\A (no HTTP traffic),report31.html
