Transaction Name,Flow Name,Packet List Name,Transaction Duration (seconds),Network Time (seconds) ,Throughput Up (KB),Throughput Down (KB),Number of Requests,Errors,Analysis Score (Desktop) ,Analysis Score (Mobile) ,Transaction HTML Report Name
vuser_init_Transaction,,,0.0,0.0,0.0,0.0,0,0,N\A (no HTTP traffic),N\A (no HTTP traffic),report0.html
Action_Transaction,,,1481.0,1472.0,210.3,8346.3,180,0,51.0,57.5,report1.html
User_login,,,14.5,14.4,130.5,885.4,78,0,57.5,62.0,report2.html
Film_By_ModalityType,,,11.3,0.8,0.0,0.0,0,0,N\A (no HTTP traffic),N\A (no HTTP traffic),report3.html
Film_By_ModalityName,,,2.3,0.0,0.0,0.0,0,0,N\A (no HTTP traffic),N\A (no HTTP traffic),report4.html
Film_By_Terminal,,,12.1,1.5,0.0,0.0,0,0,N\A (no HTTP traffic),N\A (no HTTP traffic),report5.html
Film_By_FilmSize,,,1.2,0.0,0.0,0.0,0,0,N\A (no HTTP traffic),N\A (no HTTP traffic),report6.html
Film_Unprinted_By_FilmSize,,,1.3,0.0,0.0,0.0,0,0,N\A (no HTTP traffic),N\A (no HTTP traffic),report7.html
Film_printed_By_CentralPrint,,,12.1,9.6,0.0,0.0,0,0,N\A (no HTTP traffic),N\A (no HTTP traffic),report8.html
Report_By_ModalityType,,,1.2,0.0,0.0,0.0,0,0,N\A (no HTTP traffic),N\A (no HTTP traffic),report9.html
Report_By_Terminal,,,5.3,0.0,0.0,0.0,0,0,N\A (no HTTP traffic),N\A (no HTTP traffic),report10.html
Report_By_PaperSize,,,15.3,12.0,0.0,0.0,0,0,N\A (no HTTP traffic),N\A (no HTTP traffic),report11.html
Report_By_CentralPrint,,,5.3,0.0,0.0,0.0,0,0,N\A (no HTTP traffic),N\A (no HTTP traffic),report12.html
OCR_ModalityType,,,1.9,1.0,0.0,0.0,0,0,N\A (no HTTP traffic),N\A (no HTTP traffic),report13.html
OCR_ModalityName,,,1.5,0.0,0.0,0.0,0,0,N\A (no HTTP traffic),N\A (no HTTP traffic),report14.html
vuser_end_Transaction,,,0.0,0.0,0.0,0.0,0,0,N\A (no HTTP traffic),N\A (no HTTP traffic),report15.html
