Transaction Name,Flow Name,Packet List Name,Transaction Duration (seconds),Network Time (seconds) ,Throughput Up (KB),Throughput Down (KB),Number of Requests,Errors,Analysis Score (Desktop) ,Analysis Score (Mobile) ,Transaction HTML Report Name
User_login,,,7.9,0.0,0.0,0.0,0,0,N\A (no HTTP traffic),N\A (no HTTP traffic),report0.html
SetStatusOfReportWithExpand_unprinted,,,4.5,0.0,0.0,0.0,0,0,N\A (no HTTP traffic),N\A (no HTTP traffic),report1.html
SetStatusOfReportWithExpand_printed,,,0.6,0.0,0.0,0.0,0,0,N\A (no HTTP traffic),N\A (no HTTP traffic),report2.html
SetStatusOfFilmWithoutExpand_printed,,,1.0,0.0,0.0,0.0,0,0,N\A (no HTTP traffic),N\A (no HTTP traffic),report3.html
SetStatusOfFilmWithoutExpand_NOTprinte,,,0.6,0.0,0.0,0.0,0,0,N\A (no HTTP traffic),N\A (no HTTP traffic),report4.html
SetStatusOfFilmWithExpand_unprinted,,,1.0,0.0,0.0,0.0,0,0,N\A (no HTTP traffic),N\A (no HTTP traffic),report5.html
User_login[2],,,10.0,3.0,0.0,0.0,0,0,N\A (no HTTP traffic),N\A (no HTTP traffic),report6.html
SetStatusOfReportWithExpand_printed[2],,,0.8,0.0,0.0,0.0,0,0,N\A (no HTTP traffic),N\A (no HTTP traffic),report7.html
User_login[3],,,10.0,0.0,0.0,0.0,0,0,N\A (no HTTP traffic),N\A (no HTTP traffic),report8.html
SetStatusOfReportWithExpand_NOTprinted,,,0.8,0.0,0.0,0.0,0,0,N\A (no HTTP traffic),N\A (no HTTP traffic),report9.html
User_login[4],,,9.9,0.0,0.0,0.0,0,0,N\A (no HTTP traffic),N\A (no HTTP traffic),report10.html
SetStatusOfReportWithoutExpand_unprinted,,,0.9,0.0,0.0,0.0,0,0,N\A (no HTTP traffic),N\A (no HTTP traffic),report11.html
SetStatusOfReportWithExpand_unprinted[2],,,0.8,0.0,0.0,0.0,0,0,N\A (no HTTP traffic),N\A (no HTTP traffic),report12.html
SetStatusOfFilmWithExpand_printed,,,1.3,0.0,0.0,0.0,0,0,N\A (no HTTP traffic),N\A (no HTTP traffic),report13.html
User_login[5],,,7.9,2.3,0.0,0.0,0,0,N\A (no HTTP traffic),N\A (no HTTP traffic),report14.html
SetStatusOfReportWithoutExpand_printed,,,0.8,0.0,0.0,0.0,0,0,N\A (no HTTP traffic),N\A (no HTTP traffic),report15.html
SetStatusOfFilmWithExpand_NOTprinted,,,1.4,0.0,0.0,0.0,0,0,N\A (no HTTP traffic),N\A (no HTTP traffic),report16.html
User_login[6],,,9.0,0.0,0.0,0.0,0,0,N\A (no HTTP traffic),N\A (no HTTP traffic),report17.html
SetStatusOfFilmWithoutExpand_printed[2],,,0.8,0.0,0.0,0.0,0,0,N\A (no HTTP traffic),N\A (no HTTP traffic),report18.html
SetStatusOfFilmWithExpand_unprinted[2],,,0.8,0.0,0.0,0.0,0,0,N\A (no HTTP traffic),N\A (no HTTP traffic),report19.html
User_login[7],,,8.4,0.0,0.0,0.0,0,0,N\A (no HTTP traffic),N\A (no HTTP traffic),report20.html
SetStatusOfReportWithoutExpand_unprinted[2],,,0.7,0.0,0.0,0.0,0,0,N\A (no HTTP traffic),N\A (no HTTP traffic),report21.html
SetStatusOfFilmWithoutExpand_printed[3],,,0.8,0.0,0.0,0.0,0,0,N\A (no HTTP traffic),N\A (no HTTP traffic),report22.html
SetStatusOfFilmWithExpand_unprinted[3],,,0.8,0.0,0.0,0.0,0,0,N\A (no HTTP traffic),N\A (no HTTP traffic),report23.html
User_login[8],,,8.3,0.0,0.0,0.0,0,0,N\A (no HTTP traffic),N\A (no HTTP traffic),report24.html
SetStatusOfFilmWithoutExpand_unprinted,,,0.6,0.0,0.0,0.0,0,0,N\A (no HTTP traffic),N\A (no HTTP traffic),report25.html
User_login[9],,,8.4,0.0,0.0,0.0,0,0,N\A (no HTTP traffic),N\A (no HTTP traffic),report26.html
SetStatusOfReportWithExpand_NOTprinted[2],,,0.8,0.0,0.0,0.0,0,0,N\A (no HTTP traffic),N\A (no HTTP traffic),report27.html
User_login[10],,,7.9,3.7,0.0,0.0,0,0,N\A (no HTTP traffic),N\A (no HTTP traffic),report28.html
SetStatusOfReportWithExpand_unprinted[3],,,0.8,0.0,0.0,0.0,0,0,N\A (no HTTP traffic),N\A (no HTTP traffic),report29.html
SetStatusOfReportWithExpand_printed[3],,,0.8,0.0,0.0,0.0,0,0,N\A (no HTTP traffic),N\A (no HTTP traffic),report30.html
SetStatusOfFilmWithoutExpand_unprinted[2],,,0.6,0.0,0.0,0.0,0,0,N\A (no HTTP traffic),N\A (no HTTP traffic),report31.html
User_login[11],,,9.0,0.0,0.0,0.0,0,0,N\A (no HTTP traffic),N\A (no HTTP traffic),report32.html
SetStatusOfFilmWithoutExpand_unprinted[3],,,0.7,0.0,0.0,0.0,0,0,N\A (no HTTP traffic),N\A (no HTTP traffic),report33.html
User_login[12],,,9.0,0.5,0.0,0.0,0,0,N\A (no HTTP traffic),N\A (no HTTP traffic),report34.html
SetStatusOfFilmWithExpand_printed[2],,,0.7,0.0,0.0,0.0,0,0,N\A (no HTTP traffic),N\A (no HTTP traffic),report35.html
User_login[13],,,8.6,3.0,0.0,0.0,0,0,N\A (no HTTP traffic),N\A (no HTTP traffic),report36.html
SetStatusOfReportWithExpand_unprinted[4],,,0.8,0.0,0.0,0.0,0,0,N\A (no HTTP traffic),N\A (no HTTP traffic),report37.html
SetStatusOfFilmWithoutExpand_NOTprinte[2],,,0.6,0.0,0.0,0.0,0,0,N\A (no HTTP traffic),N\A (no HTTP traffic),report38.html
User_login[14],,,10.0,6.0,0.0,0.0,0,0,N\A (no HTTP traffic),N\A (no HTTP traffic),report39.html
SetStatusOfReportWithoutExpand_printed[2],,,0.8,0.0,0.0,0.0,0,0,N\A (no HTTP traffic),N\A (no HTTP traffic),report40.html
SetStatusOfFilmWithExpand_NOTprinted[2],,,0.8,0.0,0.0,0.0,0,0,N\A (no HTTP traffic),N\A (no HTTP traffic),report41.html
User_login[15],,,13.1,0.0,0.0,0.0,0,0,N\A (no HTTP traffic),N\A (no HTTP traffic),report42.html
SetStatusOfReportWithoutExpand_NOTprinted,,,0.8,0.0,0.0,0.0,0,0,N\A (no HTTP traffic),N\A (no HTTP traffic),report43.html
SetStatusOfFilmWithoutExpand_printed[4],,,0.8,0.0,0.0,0.0,0,0,N\A (no HTTP traffic),N\A (no HTTP traffic),report44.html
User_login[16],,,10.1,0.0,0.0,0.0,0,0,N\A (no HTTP traffic),N\A (no HTTP traffic),report45.html
SetStatusOfFilmWithoutExpand_unprinted[4],,,0.8,0.0,0.0,0.0,0,0,N\A (no HTTP traffic),N\A (no HTTP traffic),report46.html
SetStatusOfFilmWithExpand_unprinted[4],,,0.8,0.0,0.0,0.0,0,0,N\A (no HTTP traffic),N\A (no HTTP traffic),report47.html
User_login[17],,,10.0,4.7,0.0,0.0,0,0,N\A (no HTTP traffic),N\A (no HTTP traffic),report48.html
SetStatusOfReportWithoutExpand_unprinted[3],,,0.8,0.0,0.0,0.0,0,0,N\A (no HTTP traffic),N\A (no HTTP traffic),report49.html
SetStatusOfFilmWithoutExpand_unprinted[5],,,0.9,0.0,0.0,0.0,0,0,N\A (no HTTP traffic),N\A (no HTTP traffic),report50.html
SetStatusOfFilmWithExpand_unprinted[5],,,0.8,0.0,0.0,0.0,0,0,N\A (no HTTP traffic),N\A (no HTTP traffic),report51.html
User_login[18],,,10.0,0.0,0.0,0.0,0,0,N\A (no HTTP traffic),N\A (no HTTP traffic),report52.html
SetStatusOfReportWithoutExpand_printed[3],,,0.8,0.0,0.0,0.0,0,0,N\A (no HTTP traffic),N\A (no HTTP traffic),report53.html
SetStatusOfReportWithoutExpand_NOTprinted[2],,,0.9,0.0,0.0,0.0,0,0,N\A (no HTTP traffic),N\A (no HTTP traffic),report54.html
SetStatusOfFilmWithoutExpand_unprinted[6],,,0.8,0.0,0.0,0.0,0,0,N\A (no HTTP traffic),N\A (no HTTP traffic),report55.html
SetStatusOfFilmWithExpand_printed[3],,,0.8,0.0,0.0,0.0,0,0,N\A (no HTTP traffic),N\A (no HTTP traffic),report56.html
User_login[19],,,10.2,5.9,0.0,0.0,0,0,N\A (no HTTP traffic),N\A (no HTTP traffic),report57.html
SetStatusOfReportWithExpand_unprinted[5],,,0.8,0.0,0.0,0.0,0,0,N\A (no HTTP traffic),N\A (no HTTP traffic),report58.html
SetStatusOfReportWithExpand_NOTprinted[3],,,0.8,0.0,0.0,0.0,0,0,N\A (no HTTP traffic),N\A (no HTTP traffic),report59.html
User_login[20],,,10.0,0.0,0.0,0.0,0,0,N\A (no HTTP traffic),N\A (no HTTP traffic),report60.html
SetStatusOfFilmWithExpand_printed[4],,,0.8,0.0,0.0,0.0,0,0,N\A (no HTTP traffic),N\A (no HTTP traffic),report61.html
User_login[21],,,9.7,0.1,0.0,0.0,0,0,N\A (no HTTP traffic),N\A (no HTTP traffic),report62.html
SetStatusOfReportWithoutExpand_NOTprinted[3],,,0.7,0.0,0.0,0.0,0,0,N\A (no HTTP traffic),N\A (no HTTP traffic),report63.html
User_login[22],,,1.7,0.0,0.0,0.0,0,0,N\A (no HTTP traffic),N\A (no HTTP traffic),report64.html
