DateTime,OS_Average Process %,OS_avaiable_memory MB,Process Process %,Process_UseMemory MB
2017/8/1 13:17,40.2,2057,0,113
2017/8/1 13:17,62,2056,12.5,343
2017/8/1 13:17,100,1955,1.75,182
2017/8/1 13:17,70,2026,0,118
2017/8/1 13:17,77.8,2078,5.25,117
2017/8/1 13:17,46.4,2034,6,122
2017/8/1 13:17,46.6,2088,25,155
2017/8/1 13:17,100,1957,0,141
2017/8/1 13:17,88.6,2012,8.25,130
2017/8/1 13:18,73,2072,15.25,130
2017/8/1 13:18,52.8,2033,5.5,129
2017/8/1 13:18,74.4,2088,24.25,161
2017/8/1 13:18,98.2,1957,0,141
2017/8/1 13:18,74.8,2004,13.25,131
2017/8/1 13:18,84,2067,0,141
2017/8/1 13:18,35.8,2066,0,130
2017/8/1 13:18,95.4,2025,14.25,356
2017/8/1 13:18,56,2020,0,134
2017/8/1 13:19,67,2002,0,130
2017/8/1 13:19,33,2024,0,131
2017/8/1 13:19,30.8,2082,0,130
2017/8/1 13:19,98.4,2025,25,164
2017/8/1 13:19,59,2011,0,138
2017/8/1 13:19,68.2,1996,6.5,131
2017/8/1 13:19,27.8,2015,13,132
2017/8/1 13:19,29.4,2076,5.75,132
2017/8/1 13:19,62.4,2017,10.75,357
2017/8/1 13:20,42,2017,0,139
2017/8/1 13:20,67,2009,2,131
2017/8/1 13:20,37,2017,0,132
2017/8/1 13:20,37,2077,5.5,131
2017/8/1 13:20,77.8,2019,11.25,358
2017/8/1 13:20,37.2,2011,0,135
2017/8/1 13:20,59,1988,0,132
2017/8/1 13:20,34.2,2004,0,133
2017/8/1 13:20,45.2,2069,3.25,132
2017/8/1 13:20,96.4,1890,3.5,359
2017/8/1 13:21,35.6,2003,0,137
2017/8/1 13:21,65,2032,0,134
2017/8/1 13:21,46.6,2012,15.5,135
2017/8/1 13:21,34.4,2063,0,133
2017/8/1 13:21,100,1995,6.25,358
2017/8/1 13:21,37,1987,0,140
2017/8/1 13:21,79.2,1987,17.5,134
2017/8/1 13:21,34,2010,8.5,133
2017/8/1 13:21,38.8,2060,0,133
2017/8/1 13:21,96.4,1890,4.75,360
2017/8/1 13:22,82.4,2001,0,140
2017/8/1 13:22,64,2031,0,4
2017/8/1 13:22,37,2000,15.5,133
2017/8/1 13:22,71.6,2045,0,133
2017/8/1 13:22,100,1920,1.5,359
2017/8/1 13:22,100,1984,8.5,134
2017/8/1 13:22,37,2046,0,134
2017/8/1 13:22,49.6,1997,0,135
2017/8/1 13:22,100,2046,0,137
2017/8/1 13:23,100,1996,0,150
2017/8/1 13:23,88.8,1972,0,136
2017/8/1 13:23,66.8,1996,5,136
2017/8/1 13:23,28,2043,0,136
2017/8/1 13:23,100,1983,17.75,359
2017/8/1 13:23,60.6,1975,0,140
2017/8/1 13:23,73,1947,0,137
2017/8/1 13:23,42,1970,18,137
2017/8/1 13:23,40.4,2028,10.75,136
2017/8/1 13:23,70,1885,4.25,362
2017/8/1 13:24,100,1961,0,139
2017/8/1 13:24,55.8,1950,12,135
2017/8/1 13:24,60.8,1997,0,137
2017/8/1 13:24,29.6,2024,0,137
2017/8/1 13:24,93.2,1967,5.25,359
2017/8/1 13:24,54.2,1957,0,137
2017/8/1 13:24,63.8,1962,4.5,138
2017/8/1 13:24,43.4,1977,0,138
2017/8/1 13:24,37.2,2037,5.25,137
2017/8/1 13:25,73.2,1886,1.5,360
2017/8/1 13:25,100,1900,0,149
2017/8/1 13:25,46.6,1956,3.5,136
2017/8/1 13:25,88.6,2008,0,134
2017/8/1 13:25,44.8,1973,16.25,135
2017/8/1 13:25,40.8,2044,0,138
2017/8/1 13:25,100,1989,0,137
2017/8/1 13:25,87,1953,3.25,135
2017/8/1 13:25,76.2,1979,0,146
2017/8/1 13:25,35.8,2021,11.25,135
2017/8/1 13:26,100,1996,25,166
2017/8/1 13:26,57.6,1957,0,139
2017/8/1 13:26,67,1943,0,138
2017/8/1 13:26,85.6,1966,0,147
2017/8/1 13:26,42,2022,0,138
2017/8/1 13:26,100,1971,22.75,167
2017/8/1 13:26,63.6,1946,0,140
2017/8/1 13:26,62,1938,5.25,135
2017/8/1 13:26,42,1960,0,135
2017/8/1 13:27,39,2010,11.25,135
2017/8/1 13:27,60.8,1947,0,1
2017/8/1 13:27,60.8,1936,0,138
2017/8/1 13:27,62.4,1924,0,1
2017/8/1 13:27,34,1962,9.75,137
2017/8/1 13:27,46.6,2005,10.5,137
2017/8/1 13:27,100,1941,3.75,363
2017/8/1 13:27,47.8,1925,5,142
2017/8/1 13:27,100,1972,0,4
2017/8/1 13:27,37.2,1989,20.25,138
2017/8/1 13:28,79.4,2026,23.25,141
2017/8/1 13:28,100,1880,8.75,364
2017/8/1 13:28,88.6,1976,11,138
