Time,CPU usage (%),Mem usage (MB), VM usage (MB)
2017/3/28 9:42:20,19,73.53,100.27
2017/3/28 9:42:20,19,73.53,100.27
2017/3/28 9:42:20,19,73.53,100.27
2017/3/28 9:42:20,18,73.53,100.27
2017/3/28 9:42:20,18,73.53,100.27
2017/3/28 9:42:20,18,73.53,100.27
2017/3/28 9:42:21,18,73.53,100.27
2017/3/28 9:42:21,18,73.53,100.27
2017/3/28 9:42:21,18,73.53,100.27
2017/3/28 9:42:21,20,73.53,100.27
2017/3/28 9:42:21,20,73.53,100.27
2017/3/28 9:42:22,20,73.53,100.27
2017/3/28 9:42:22,20,73.53,100.27
2017/3/28 9:42:22,20,73.53,100.27
2017/3/28 9:42:22,20,73.53,100.27
2017/3/28 9:42:22,20,73.52,100.27
2017/3/28 9:42:23,20,73.52,100.27
2017/3/28 9:42:23,20,73.52,100.27
2017/3/28 9:42:23,20,73.52,100.27
2017/3/28 9:42:23,19,73.5,100.23
2017/3/28 9:42:23,19,73.5,100.23
2017/3/28 9:42:23,19,73.5,100.23
2017/3/28 9:42:24,19,73.5,100.23
2017/3/28 9:42:24,19,73.5,100.23
2017/3/28 9:42:24,19,73.5,100.23
2017/3/28 9:42:24,21,73.5,100.23
2017/3/28 9:42:24,21,73.5,100.23
2017/3/28 9:42:25,21,73.5,100.23
2017/3/28 9:42:25,21,73.5,100.23
2017/3/28 9:42:25,21,73.5,100.23
2017/3/28 9:42:25,21,73.5,100.23
2017/3/28 9:42:25,20,73.5,100.23
2017/3/28 9:42:26,20,73.5,100.23
2017/3/28 9:42:26,20,73.5,100.23
2017/3/28 9:42:26,20,73.5,100.23
2017/3/28 9:42:26,18,73.5,100.23
2017/3/28 9:42:26,18,73.5,100.23
2017/3/28 9:42:26,18,73.5,100.23
2017/3/28 9:42:27,18,73.5,100.23
2017/3/28 9:42:27,18,73.5,100.23
2017/3/28 9:42:27,19,73.5,100.23
2017/3/28 9:42:27,19,73.5,100.23
2017/3/28 9:42:28,19,73.5,100.23
2017/3/28 9:42:28,19,73.5,100.23
2017/3/28 9:42:28,19,73.54,100.27
2017/3/28 9:42:28,19,73.54,100.27
2017/3/28 9:42:28,20,73.54,100.27
2017/3/28 9:42:29,20,73.54,100.27
2017/3/28 9:42:29,20,73.54,100.27
2017/3/28 9:42:29,20,73.54,100.27
2017/3/28 9:42:29,22,73.54,100.27
2017/3/28 9:42:29,22,73.54,100.27
2017/3/28 9:42:29,22,73.54,100.27
2017/3/28 9:42:30,22,73.54,100.27
2017/3/28 9:42:30,22,73.54,100.27
2017/3/28 9:42:30,19,73.54,100.27
2017/3/28 9:42:30,19,73.54,100.27
2017/3/28 9:42:30,19,73.54,100.27
2017/3/28 9:42:31,19,73.54,100.27
2017/3/28 9:42:31,19,73.54,100.27
2017/3/28 9:42:31,19,73.54,100.27
2017/3/28 9:42:31,19,73.54,100.27
2017/3/28 9:42:31,21,73.52,100.27
2017/3/28 9:42:32,21,73.52,100.27
2017/3/28 9:42:32,21,73.52,100.27
2017/3/28 9:42:32,21,73.53,100.29
2017/3/28 9:42:32,20,73.53,100.29
2017/3/28 9:42:32,20,73.53,100.29
2017/3/28 9:42:32,20,73.53,100.29
2017/3/28 9:42:33,20,73.53,100.29
2017/3/28 9:42:33,20,73.51,100.25
2017/3/28 9:42:33,20,73.49,100.23
2017/3/28 9:42:33,19,73.49,100.23
2017/3/28 9:42:33,19,73.49,100.23
2017/3/28 9:42:34,19,73.49,100.23
2017/3/28 9:42:34,19,73.49,100.23
2017/3/28 9:42:34,19,73.49,100.23
2017/3/28 9:42:34,18,73.49,100.23
2017/3/28 9:42:34,18,73.49,100.23
2017/3/28 9:42:35,18,73.49,100.23
2017/3/28 9:42:35,18,73.49,100.23
2017/3/28 9:42:35,18,73.49,100.23
2017/3/28 9:42:35,20,73.49,100.23
2017/3/28 9:42:35,20,73.49,100.23
2017/3/28 9:42:35,20,73.49,100.23
2017/3/28 9:42:36,20,73.49,100.23
2017/3/28 9:42:36,20,73.49,100.23
2017/3/28 9:42:36,20,73.49,100.23
2017/3/28 9:42:36,19,73.49,100.23
2017/3/28 9:42:36,19,73.49,100.23
2017/3/28 9:42:37,19,73.49,100.23
2017/3/28 9:42:37,19,73.49,100.23
2017/3/28 9:42:37,19,73.49,100.23
2017/3/28 9:42:37,23,73.49,100.23
2017/3/28 9:42:37,23,73.49,100.23
2017/3/28 9:42:38,23,73.49,100.23
2017/3/28 9:42:38,23,73.49,100.23
2017/3/28 9:42:38,23,72.7,100.26
2017/3/28 9:42:38,20,73.54,100.27
2017/3/28 9:42:38,20,73.54,100.27
2017/3/28 9:42:38,20,73.54,100.27
2017/3/28 9:42:39,20,73.54,100.27
2017/3/28 9:42:39,20,73.54,100.27
2017/3/28 9:42:39,20,73.54,100.27
2017/3/28 9:42:39,19,73.54,100.27
2017/3/28 9:42:39,19,73.54,100.27
2017/3/28 9:42:40,19,73.54,100.27
2017/3/28 9:42:40,19,73.54,100.27
2017/3/28 9:42:40,19,73.54,100.27
2017/3/28 9:42:40,23,73.54,100.29
2017/3/28 9:42:40,23,73.54,100.29
2017/3/28 9:42:41,23,73.54,100.29
2017/3/28 9:42:41,23,73.54,100.29
2017/3/28 9:42:41,23,73.54,100.29
2017/3/28 9:42:41,19,73.54,100.29
2017/3/28 9:42:41,19,73.54,100.29
2017/3/28 9:42:41,19,73.54,100.29
2017/3/28 9:42:42,19,73.54,100.29
2017/3/28 9:42:42,19,73.54,100.29
2017/3/28 9:42:42,19,73.54,100.29
2017/3/28 9:42:42,19,73.54,100.29
2017/3/28 9:42:42,19,73.54,100.29
2017/3/28 9:42:43,19,73.54,100.29
2017/3/28 9:42:43,19,73.54,100.29
2017/3/28 9:42:43,19,73.52,100.24
2017/3/28 9:42:43,19,73.52,100.24
2017/3/28 9:42:43,19,73.5,100.24
2017/3/28 9:42:44,19,73.5,100.24
2017/3/28 9:42:44,19,73.5,100.24
2017/3/28 9:42:44,19,73.5,100.24
2017/3/28 9:42:44,19,73.5,100.24
2017/3/28 9:42:44,19,73.5,100.24
2017/3/28 9:42:44,19,73.5,100.24
2017/3/28 9:42:45,19,73.5,100.24
2017/3/28 9:42:45,19,73.5,100.24
2017/3/28 9:42:45,19,73.5,100.24
2017/3/28 9:42:45,20,73.5,100.24
2017/3/28 9:42:45,20,73.5,100.24
2017/3/28 9:42:46,20,73.5,100.24
2017/3/28 9:42:46,20,73.5,100.24
2017/3/28 9:42:46,20,73.5,100.24
2017/3/28 9:42:46,20,73.5,100.24
2017/3/28 9:42:46,19,73.51,100.25
2017/3/28 9:42:47,19,73.51,100.25
2017/3/28 9:42:47,19,73.51,100.25
2017/3/28 9:42:47,19,73.51,100.25
2017/3/28 9:42:47,19,73.51,100.25
2017/3/28 9:42:47,19,73.51,100.25
2017/3/28 9:42:47,19,73.51,100.25
2017/3/28 9:42:48,19,73.51,100.25
2017/3/28 9:42:48,19,73.55,100.29
2017/3/28 9:42:48,19,73.55,100.29
2017/3/28 9:42:48,20,73.55,100.29
2017/3/28 9:42:48,20,73.55,100.29
2017/3/28 9:42:49,20,73.55,100.29
2017/3/28 9:42:49,20,73.55,100.29
2017/3/28 9:42:49,20,73.55,100.29
2017/3/28 9:42:49,20,73.55,100.29
2017/3/28 9:42:49,19,73.55,100.29
2017/3/28 9:42:50,19,73.55,100.29
2017/3/28 9:42:50,19,73.55,100.29
2017/3/28 9:42:50,19,73.55,100.29
2017/3/28 9:42:50,21,73.55,100.29
2017/3/28 9:42:50,21,73.55,100.29
2017/3/28 9:42:50,21,73.55,100.29
2017/3/28 9:42:51,21,73.55,100.29
2017/3/28 9:42:51,21,73.55,100.29
2017/3/28 9:42:51,21,73.55,100.29
2017/3/28 9:42:51,18,73.55,100.29
2017/3/28 9:42:51,18,73.55,100.29
2017/3/28 9:42:52,18,73.55,100.29
2017/3/28 9:42:52,18,73.55,100.29
2017/3/28 9:42:52,18,73.55,100.29
2017/3/28 9:42:52,18,73.55,100.29
2017/3/28 9:42:52,18,73.53,100.29
2017/3/28 9:42:53,18,73.53,100.29
2017/3/28 9:42:53,18,73.53,100.29
2017/3/28 9:42:53,18,73.53,100.29
2017/3/28 9:42:53,18,73.49,100.23
2017/3/28 9:42:53,18,73.49,100.23
2017/3/28 9:42:53,18,73.49,100.23
2017/3/28 9:42:54,18,73.49,100.23
2017/3/28 9:42:54,18,73.5,100.24
2017/3/28 9:42:54,18,73.5,100.24
2017/3/28 9:42:54,19,73.5,100.24
2017/3/28 9:42:54,19,73.5,100.24
2017/3/28 9:42:55,19,73.5,100.24
2017/3/28 9:42:55,19,73.5,100.24
2017/3/28 9:42:55,19,73.5,100.24
2017/3/28 9:42:55,19,73.5,100.24
2017/3/28 9:42:55,19,73.5,100.24
2017/3/28 9:42:56,19,73.5,100.24
2017/3/28 9:42:56,19,73.5,100.24
2017/3/28 9:42:56,19,73.5,100.24
2017/3/28 9:42:56,19,73.5,100.24
2017/3/28 9:42:56,19,73.5,100.24
2017/3/28 9:42:56,19,73.5,100.24
2017/3/28 9:42:57,19,73.5,100.24
2017/3/28 9:42:57,19,73.51,100.25
2017/3/28 9:42:57,19,73.51,100.25
2017/3/28 9:42:57,21,73.51,100.25
2017/3/28 9:42:57,21,73.51,100.25
2017/3/28 9:42:58,21,73.51,100.25
2017/3/28 9:42:58,21,73.51,100.25
2017/3/28 9:42:58,21,73.55,100.29
2017/3/28 9:42:58,21,73.55,100.29
2017/3/28 9:42:58,19,73.55,100.29
2017/3/28 9:42:59,19,73.55,100.29
2017/3/28 9:42:59,19,73.55,100.29
2017/3/28 9:42:59,19,73.55,100.29
2017/3/28 9:42:59,20,73.55,100.29
2017/3/28 9:42:59,20,73.55,100.29
2017/3/28 9:42:59,20,73.55,100.29
2017/3/28 9:43:00,20,73.55,100.29
2017/3/28 9:43:00,20,73.55,100.29
2017/3/28 9:43:00,20,73.55,100.29
2017/3/28 9:43:00,20,73.55,100.29
2017/3/28 9:43:00,20,73.55,100.29
2017/3/28 9:43:01,20,73.55,100.29
2017/3/28 9:43:01,20,73.55,100.29
2017/3/28 9:43:01,20,73.55,100.29
2017/3/28 9:43:01,20,73.55,100.29
2017/3/28 9:43:01,20,72.99,100.29
2017/3/28 9:43:02,20,73,100.29
2017/3/28 9:43:02,20,73,100.29
2017/3/28 9:43:02,20,73,100.29
2017/3/28 9:43:02,19,73.03,100.29
2017/3/28 9:43:02,19,73.03,100.29
2017/3/28 9:43:02,19,73.04,100.29
2017/3/28 9:43:03,19,73.04,100.29
2017/3/28 9:43:03,19,73.01,100.25
2017/3/28 9:43:03,19,73.01,100.25
2017/3/28 9:43:03,20,73.01,100.25
2017/3/28 9:43:03,20,73.01,100.25
2017/3/28 9:43:04,20,73.01,100.25
2017/3/28 9:43:04,20,73.01,100.25
2017/3/28 9:43:04,20,73.01,100.25
2017/3/28 9:43:04,20,73.01,100.25
2017/3/28 9:43:04,19,73.01,100.25
2017/3/28 9:43:05,19,73.02,100.25
2017/3/28 9:43:05,19,73.02,100.25
2017/3/28 9:43:05,19,73.02,100.25
2017/3/28 9:43:05,20,73.05,100.25
2017/3/28 9:43:05,20,73.05,100.25
2017/3/28 9:43:05,20,73.05,100.25
2017/3/28 9:43:06,20,73.05,100.25
2017/3/28 9:43:06,20,73.05,100.25
2017/3/28 9:43:06,20,73.05,100.25
2017/3/28 9:43:07,20,73.05,100.25
2017/3/28 9:43:07,20,73.05,100.25
2017/3/28 9:43:07,20,73.05,100.25
2017/3/28 9:43:07,20,73.05,100.25
2017/3/28 9:43:07,21,73.05,100.25
2017/3/28 9:43:08,21,73.05,100.25
2017/3/28 9:43:08,21,73.05,100.25
2017/3/28 9:43:08,21,73,100.28
2017/3/28 9:43:08,20,73.25,100.29
2017/3/28 9:43:08,20,73.25,100.29
2017/3/28 9:43:08,20,73.25,100.29
2017/3/28 9:43:09,20,73.25,100.29
2017/3/28 9:43:09,20,73.25,100.29
2017/3/28 9:43:09,20,73.25,100.29
2017/3/28 9:43:09,19,73.25,100.29
2017/3/28 9:43:09,19,73.25,100.29
2017/3/28 9:43:10,19,73.25,100.29
2017/3/28 9:43:10,19,73.25,100.29
2017/3/28 9:43:10,19,73.25,100.29
2017/3/28 9:43:10,20,73.25,100.29
2017/3/28 9:43:10,20,73.25,100.29
2017/3/28 9:43:11,20,73.25,100.29
2017/3/28 9:43:11,20,73.25,100.29
2017/3/28 9:43:11,20,73.25,100.29
2017/3/28 9:43:11,20,73.25,100.29
2017/3/28 9:43:11,20,73.25,100.29
2017/3/28 9:43:12,20,73.25,100.29
2017/3/28 9:43:12,20,73.25,100.29
2017/3/28 9:43:12,20,73.25,100.29
2017/3/28 9:43:12,19,73.25,100.29
2017/3/28 9:43:12,19,73.25,100.29
2017/3/28 9:43:13,19,73.25,100.29
2017/3/28 9:43:13,19,73.25,100.29
2017/3/28 9:43:13,19,73.23,100.25
2017/3/28 9:43:13,18,73.23,100.25
2017/3/28 9:43:13,18,73.21,100.25
2017/3/28 9:43:14,18,73.21,100.25
2017/3/28 9:43:14,18,73.21,100.25
2017/3/28 9:43:14,18,73.21,100.25
2017/3/28 9:43:14,19,73.21,100.25
2017/3/28 9:43:14,19,73.21,100.25
2017/3/28 9:43:14,19,73.21,100.25
2017/3/28 9:43:15,19,73.21,100.25
2017/3/28 9:43:15,19,73.21,100.25
2017/3/28 9:43:15,20,73.21,100.25
2017/3/28 9:43:15,20,73.21,100.25
2017/3/28 9:43:15,20,73.21,100.25
2017/3/28 9:43:16,20,73.21,100.25
2017/3/28 9:43:16,20,73.21,100.25
2017/3/28 9:43:16,20,73.21,100.25
2017/3/28 9:43:16,19,73.21,100.25
2017/3/28 9:43:16,19,73.21,100.25
2017/3/28 9:43:17,19,73.21,100.25
2017/3/28 9:43:17,19,73.21,100.25
2017/3/28 9:43:17,19,73.21,100.25
2017/3/28 9:43:17,21,73.21,100.25
2017/3/28 9:43:17,21,73.21,100.25
2017/3/28 9:43:18,21,73.21,100.25
2017/3/28 9:43:18,21,73.25,100.29
2017/3/28 9:43:18,19,73.25,100.29
2017/3/28 9:43:19,19,73.25,100.26
2017/3/28 9:43:19,19,73.23,100.26
2017/3/28 9:43:19,19,73.23,100.26
2017/3/28 9:43:19,20,73.23,100.26
2017/3/28 9:43:20,20,73.23,100.26
2017/3/28 9:43:20,20,73.23,100.26
2017/3/28 9:43:20,20,73.24,100.26
2017/3/28 9:43:20,19,73.25,100.28
2017/3/28 9:43:20,19,73.25,100.28
2017/3/28 9:43:21,19,73.25,100.28
2017/3/28 9:43:21,19,73.25,100.28
2017/3/28 9:43:21,19,73.25,100.28
2017/3/28 9:43:21,20,73.25,100.28
2017/3/28 9:43:21,20,73.25,100.28
2017/3/28 9:43:21,20,73.25,100.28
2017/3/28 9:43:22,20,73.25,100.28
2017/3/28 9:43:22,20,73.25,100.28
2017/3/28 9:43:22,22,73.25,100.28
2017/3/28 9:43:22,22,73.24,100.28
2017/3/28 9:43:23,22,73.24,100.28
2017/3/28 9:43:23,22,73.24,100.28
2017/3/28 9:43:23,22,73.24,100.28
2017/3/28 9:43:23,18,73.21,100.25
2017/3/28 9:43:24,18,73.21,100.25
2017/3/28 9:43:24,18,73.21,100.25
2017/3/28 9:43:24,14,73.21,100.25
2017/3/28 9:43:24,14,73.21,100.25
2017/3/28 9:43:24,14,73.21,100.25
2017/3/28 9:43:25,14,73.21,100.25
2017/3/28 9:43:25,14,73.21,100.25
2017/3/28 9:43:25,20,73.21,100.25
2017/3/28 9:43:25,20,73.21,100.25
2017/3/28 9:43:26,20,73.21,100.25
2017/3/28 9:43:26,20,73.21,100.25
2017/3/28 9:43:26,20,73.21,100.25
2017/3/28 9:43:26,18,73.21,100.25
2017/3/28 9:43:26,18,73.21,100.25
2017/3/28 9:43:27,18,73.21,100.25
2017/3/28 9:43:27,18,73.21,100.25
2017/3/28 9:43:27,18,73.21,100.25
2017/3/28 9:43:27,20,73.21,100.25
2017/3/28 9:43:27,20,73.21,100.25
2017/3/28 9:43:28,20,73.21,100.25
2017/3/28 9:43:28,20,73.25,100.28
2017/3/28 9:43:28,19,73.25,100.28
2017/3/28 9:43:28,19,73.25,100.28
2017/3/28 9:43:28,19,73.25,100.28
2017/3/28 9:43:29,19,73.25,100.28
2017/3/28 9:43:29,19,73.25,100.28
2017/3/28 9:43:29,19,73.25,100.28
2017/3/28 9:43:29,19,73.25,100.28
2017/3/28 9:43:30,19,73.25,100.28
2017/3/28 9:43:30,19,73.25,100.28
2017/3/28 9:43:30,19,73.25,100.28
2017/3/28 9:43:30,19,73.25,100.28
2017/3/28 9:43:30,19,73.25,100.28
2017/3/28 9:43:30,19,73.25,100.28
2017/3/28 9:43:31,19,73.25,100.28
2017/3/28 9:43:31,19,73.25,100.28
2017/3/28 9:43:31,19,73.25,100.28
2017/3/28 9:43:31,20,73.25,100.28
2017/3/28 9:43:31,20,73.23,100.28
2017/3/28 9:43:31,20,73.23,100.28
2017/3/28 9:43:32,20,73.23,100.28
2017/3/28 9:43:32,20,73.23,100.28
2017/3/28 9:43:32,20,73.23,100.28
2017/3/28 9:43:32,19,73.23,100.28
2017/3/28 9:43:33,19,73.23,100.28
2017/3/28 9:43:33,19,73.23,100.28
2017/3/28 9:43:33,19,73.23,100.28
2017/3/28 9:43:33,19,73.21,100.25
2017/3/28 9:43:33,19,73.21,100.25
2017/3/28 9:43:33,19,73.21,100.25
2017/3/28 9:43:34,19,73.21,100.25
2017/3/28 9:43:34,19,73.21,100.25
2017/3/28 9:43:34,21,73.21,100.25
2017/3/28 9:43:34,21,73.21,100.25
2017/3/28 9:43:34,21,73.21,100.25
2017/3/28 9:43:34,21,73.21,100.25
2017/3/28 9:43:35,21,73.21,100.25
2017/3/28 9:43:35,21,73.21,100.25
2017/3/28 9:43:35,20,73.21,100.25
2017/3/28 9:43:35,20,73.21,100.25
2017/3/28 9:43:36,20,73.21,100.25
2017/3/28 9:43:36,20,73.21,100.25
2017/3/28 9:43:36,20,73.21,100.25
2017/3/28 9:43:36,20,73.21,100.25
2017/3/28 9:43:36,18,73.21,100.25
2017/3/28 9:43:36,18,73.21,100.25
2017/3/28 9:43:37,18,73.21,100.25
2017/3/28 9:43:37,18,73.2,100.25
2017/3/28 9:43:37,19,73.21,100.25
2017/3/28 9:43:37,19,73.21,100.25
2017/3/28 9:43:37,19,73.21,100.25
2017/3/28 9:43:38,19,73.21,100.25
2017/3/28 9:43:38,19,73.25,100.28
2017/3/28 9:43:38,19,73.25,100.28
2017/3/28 9:43:38,19,73.25,100.28
2017/3/28 9:43:38,19,73.25,100.28
2017/3/28 9:43:39,19,73.25,100.28
2017/3/28 9:43:39,19,73.25,100.28
2017/3/28 9:43:39,19,73.25,100.28
2017/3/28 9:43:39,19,73.25,100.28
2017/3/28 9:43:39,19,73.25,100.28
2017/3/28 9:43:40,19,73.25,100.28
2017/3/28 9:43:40,19,73.25,100.28
2017/3/28 9:43:40,19,73.25,100.28
2017/3/28 9:43:40,18,73.25,100.28
2017/3/28 9:43:40,18,73.25,100.28
2017/3/28 9:43:40,18,73.25,100.28
2017/3/28 9:43:41,18,73.25,100.28
2017/3/28 9:43:41,18,73.25,100.28
2017/3/28 9:43:41,18,73.25,100.28
2017/3/28 9:43:41,21,73.25,100.28
2017/3/28 9:43:41,21,73.25,100.28
2017/3/28 9:43:42,21,73.25,100.28
2017/3/28 9:43:42,21,73.25,100.28
2017/3/28 9:43:42,21,73.25,100.28
2017/3/28 9:43:42,21,73.25,100.28
2017/3/28 9:43:42,19,73.25,100.28
2017/3/28 9:43:43,19,73.25,100.28
2017/3/28 9:43:43,19,73.25,100.28
2017/3/28 9:43:43,19,73.25,100.28
2017/3/28 9:43:43,18,73.23,100.25
2017/3/28 9:43:43,18,73.22,100.25
2017/3/28 9:43:43,18,73.22,100.25
