Time,CPU usage (%),Mem usage (MB), VM usage (MB)
2017/3/30 17:08:34,8,124.64,94.12
2017/3/30 17:08:44,15,118.99,103.03
2017/3/30 17:08:55,13,121.71,95.07
2017/3/30 17:09:11,14,126.42,95.83
2017/3/30 17:09:27,13,122.3,95.64
2017/3/30 17:09:44,16,123.43,96.92
2017/3/30 17:10:01,14,128.35,98.14
2017/3/30 17:10:17,16,124.9,98.32
2017/3/30 17:10:33,14,124.65,98.53
2017/3/30 17:10:50,15,125.21,98.65
2017/3/30 17:11:07,17,129.57,98.95
2017/3/30 17:11:23,17,125.48,99.15
2017/3/30 17:11:40,13,126.25,99.5
2017/3/30 17:11:56,14,131.04,100.3
2017/3/30 17:12:12,16,127.1,100.97
2017/3/30 17:12:29,16,127.41,101.16
2017/3/30 17:12:45,10,129.26,103.33
2017/3/30 17:13:02,19,132.23,102
2017/3/30 17:13:18,12,128.43,101.86
2017/3/30 17:13:34,16,129.59,103.87
2017/3/30 17:13:51,14,129.22,103.76
2017/3/30 17:14:07,16,132.77,102.5
2017/3/30 17:14:24,16,119.83,110.46
2017/3/30 17:14:39,12,130.24,104.69
2017/3/30 17:14:56,17,134.99,104.71
2017/3/30 17:15:13,15,130.79,104.74
2017/3/30 17:15:29,11,129.69,104.12
2017/3/30 17:15:45,16,135.25,105.75
2017/3/30 17:16:02,13,131.34,105.74
2017/3/30 17:16:18,15,133.1,102.91
2017/3/30 17:16:34,14,131.44,106.08
2017/3/30 17:16:51,13,131.78,106.25
2017/3/30 17:17:07,12,134.19,104.7
2017/3/30 17:17:25,15,130.18,104.09
2017/3/30 17:17:41,14,131.83,106.43
2017/3/30 17:17:57,14,134.7,105.19
2017/3/30 17:18:14,15,136.77,107.05
2017/3/30 17:18:30,14,137.35,107.11
2017/3/30 17:18:46,14,131.94,105.27
2017/3/30 17:19:03,12,133.15,107.41
2017/3/30 17:19:19,16,133.26,107.49
2017/3/30 17:19:35,12,136.1,105.9
2017/3/30 17:19:52,16,133.46,108.23
2017/3/30 17:20:08,11,136.31,107.36
2017/3/30 17:20:25,14,133.36,108.3
2017/3/30 17:20:41,14,132.44,106.57
2017/3/30 17:20:57,14,133.41,108.54
2017/3/30 17:21:15,10,139.62,110.49
2017/3/30 17:21:31,17,134.64,109.15
2017/3/30 17:21:48,17,138.41,109.38
2017/3/30 17:22:04,15,135.13,109.39
2017/3/30 17:22:20,14,133.7,107.85
2017/3/30 17:22:37,12,134.66,109.46
2017/3/30 17:22:53,16,133.55,107.62
2017/3/30 17:23:10,12,139,109.44
2017/3/30 17:23:26,14,134.89,109.71
2017/3/30 17:23:42,13,135.51,109.74
2017/3/30 17:23:59,14,140.01,110.06
2017/3/30 17:24:15,14,134.52,108.73
2017/3/30 17:24:31,12,133.94,108.22
2017/3/30 17:24:48,15,139.34,109.92
2017/3/30 17:25:05,14,134.51,108.53
2017/3/30 17:25:21,16,136.72,110.85
2017/3/30 17:25:38,14,140.32,110.86
2017/3/30 17:25:54,16,136.87,110.89
2017/3/30 17:26:11,14,136.81,110.9
2017/3/30 17:26:27,12,136.73,111.04
2017/3/30 17:26:43,15,141.08,111.22
2017/3/30 17:27:00,16,135.65,109.24
2017/3/30 17:27:16,15,136.52,111.4
2017/3/30 17:27:33,16,137.9,111.63
2017/3/30 17:27:49,14,142.48,112.01
2017/3/30 17:28:06,14,137.7,111.96
2017/3/30 17:28:22,15,142.21,112.58
2017/3/30 17:28:38,16,139.07,112.77
2017/3/30 17:28:55,13,137.2,111.19
2017/3/30 17:29:12,17,138.97,112.77
2017/3/30 17:29:28,14,143.88,114.25
2017/3/30 17:29:44,14,139.82,114.49
2017/3/30 17:30:01,13,140.21,114.53
2017/3/30 17:30:17,15,144.39,114.72
2017/3/30 17:30:34,12,140.34,114.86
2017/3/30 17:30:50,15,138.63,112.88
2017/3/30 17:31:07,14,139.86,115.04
2017/3/30 17:31:23,14,140.58,115.34
2017/3/30 17:31:39,15,137.15,115.5
2017/3/30 17:31:56,10,141.24,115.5
2017/3/30 17:32:13,16,137.44,115.82
2017/3/30 17:32:29,12,137.79,115.85
2017/3/30 17:32:46,17,137.47,115.8
2017/3/30 17:33:02,14,139.96,113.94
2017/3/30 17:33:18,12,137.59,115.96
2017/3/30 17:33:35,17,141.57,116.18
2017/3/30 17:33:51,16,137.93,116.15
2017/3/30 17:34:07,12,136.51,114.34
2017/3/30 17:34:23,14,137.26,116.36
2017/3/30 17:34:41,12,144.15,118.69
2017/3/30 17:34:57,13,142.49,116.41
2017/3/30 17:35:14,16,138.61,116.76
2017/3/30 17:35:30,13,142.95,116.76
2017/3/30 17:35:46,12,138.98,116.81
2017/3/30 17:36:03,13,139.05,116.94
2017/3/30 17:36:19,14,108.85,116.66
2017/3/30 17:36:35,15,113.84,117.32
2017/3/30 17:36:52,13,109.52,117.34
2017/3/30 17:37:08,17,107.39,115.19
2017/3/30 17:37:25,16,107.78,117.34
2017/3/30 17:37:41,14,113.42,117.43
2017/3/30 17:37:57,16,109.62,117.7
2017/3/30 17:38:14,13,109.65,117.66
2017/3/30 17:38:30,14,115.13,117.66
2017/3/30 17:38:47,16,109.98,117.75
2017/3/30 17:39:04,13,110.52,117.85
2017/3/30 17:39:20,17,111.16,118.19
2017/3/30 17:39:36,14,116.08,118.19
2017/3/30 17:39:52,14,111.03,117.49
2017/3/30 17:40:09,19,111.5,118.18
2017/3/30 17:40:25,12,112.07,118.23
2017/3/30 17:40:42,14,112.32,118.54
2017/3/30 17:40:58,14,112.13,118.58
2017/3/30 17:41:14,14,116.53,118.57
2017/3/30 17:41:31,14,111.35,118.72
2017/3/30 17:41:47,12,111.48,118.79
2017/3/30 17:42:05,13,117.21,118.85
2017/3/30 17:42:21,16,108.37,125.75
2017/3/30 17:42:36,15,112.14,119.15
2017/3/30 17:42:53,14,112.15,119.11
2017/3/30 17:43:09,16,116.1,118.43
2017/3/30 17:43:26,13,113.27,119.38
2017/3/30 17:43:42,17,113.12,119.13
2017/3/30 17:43:59,16,117.89,119.23
2017/3/30 17:44:15,13,112.56,119.51
2017/3/30 17:44:32,18,113.44,119.5
2017/3/30 17:44:48,14,117.75,119.54
2017/3/30 17:45:05,16,117.93,119.59
2017/3/30 17:45:21,14,113.69,119.7
2017/3/30 17:45:38,16,118.27,120.06
2017/3/30 17:45:54,14,113.41,120.29
2017/3/30 17:46:10,14,113.29,120.32
2017/3/30 17:46:26,12,118.43,120.7
2017/3/30 17:46:44,11,115.73,120.79
2017/3/30 17:47:00,13,115.12,120.78
2017/3/30 17:47:17,11,119.71,121.07
2017/3/30 17:47:33,14,114.66,123.51
2017/3/30 17:47:50,14,113.8,123.71
2017/3/30 17:48:06,12,120.1,126.08
2017/3/30 17:48:22,14,118.33,122.58
2017/3/30 17:48:38,15,115.1,123.52
2017/3/30 17:48:56,14,114.7,123.84
2017/3/30 17:49:12,16,120.28,124.29
2017/3/30 17:49:28,16,116.23,124.31
2017/3/30 17:49:44,14,115.18,123.67
2017/3/30 17:50:01,12,116.37,124.47
2017/3/30 17:50:17,16,120.66,124.46
2017/3/30 17:50:34,15,115.47,124.49
2017/3/30 17:50:52,16,115.89,124.62
2017/3/30 17:51:08,13,115.89,124.64
2017/3/30 17:51:25,14,123.96,127.19
2017/3/30 17:51:42,12,120.66,125.05
2017/3/30 17:51:58,17,122.32,125.24
2017/3/30 17:52:14,14,117.27,125.22
2017/3/30 17:52:30,12,122.04,125.39
2017/3/30 17:52:47,14,118.36,125.82
2017/3/30 17:53:04,13,112.75,130.29
2017/3/30 17:53:20,14,122.31,125.64
2017/3/30 17:53:36,14,117.94,125.71
2017/3/30 17:53:53,12,118.17,125.72
2017/3/30 17:54:09,16,118.08,125.75
2017/3/30 17:54:25,12,123.18,125.81
2017/3/30 17:54:42,15,116.31,124.01
2017/3/30 17:54:59,14,117.63,126
2017/3/30 17:55:15,17,122.98,126.1
2017/3/30 17:55:32,14,118.99,126.54
2017/3/30 17:55:48,13,119.23,126.54
2017/3/30 17:56:05,14,119.1,126.54
2017/3/30 17:56:21,12,119.48,126.58
2017/3/30 17:56:37,11,123.65,125.6
2017/3/30 17:56:54,12,120.14,126.92
2017/3/30 17:57:10,15,120.11,127.23
2017/3/30 17:57:27,11,125.32,127.33
2017/3/30 17:57:44,16,116.35,134.54
2017/3/30 17:57:59,17,121.59,127.95
2017/3/30 17:58:16,15,126.5,127.6
2017/3/30 17:58:33,13,116.19,134.6
2017/3/30 17:58:48,13,121.91,127.98
2017/3/30 17:59:05,15,126.46,127.98
2017/3/30 17:59:21,12,121.11,127.99
2017/3/30 17:59:37,12,119.88,126.06
2017/3/30 17:59:55,13,116.14,134.58
